Ticker,Date,Open,High,Low,Close,Volume,TradingValue,ConfigCode,ModelVersion,DeviationPct,PivotSeq,PivotType,PivotPrice,ConfirmedAtDate,ConfirmationPrice,ZigZagLow,ZigZagHigh,IsConfirmedPivot
MWG,2026-06-19,77.49,77.69,76.31,76.8,2425600,189247429266,,,,,,,,,,,False
MWG,2026-06-22,76.8,76.8,75.82,76.02,2992900,231303637911,,,,,,,,,,,False
MWG,2026-06-23,75.92,76.02,74.83,74.83,6295100,480566868672,,,,,,,,,,,False
MWG,2026-06-24,74.83,76.61,73.85,76.61,4218000,321080620993,ZZ_D_5_MVP,MVP1,0.05,275,LOW,73.85,2026-06-29,77.79,73.85,,True
MWG,2026-06-25,75.92,76.31,75.52,76.02,3553800,273777690929,,,,,,,,,,,False
MWG,2026-06-26,75.92,77.3,75.33,77.3,4859300,377597198758,,,,,,,,,,,False
MWG,2026-06-29,77.2,77.99,76.9,77.79,4268900,336436339719,,,,,,,,,,,False
MWG,2026-06-30,77.59,77.79,76.41,76.9,4008800,313159529662,,,,,,,,,,,False
MWG,2026-07-01,76.8,78.77,76.51,78.77,6029400,479017801485,,,,,,,,,,,False
MWG,2026-07-02,78.97,80.15,78.18,78.48,4640200,373175168673,ZZ_D_5_MVP,MVP1,0.05,276,HIGH,80.15,2026-07-10,75.43,,80.15,True
MWG,2026-07-03,78.38,78.38,77.1,77.69,3276600,258197230309,,,,,,,,,,,False
MWG,2026-07-06,77.39,77.59,75.52,76.8,4935700,383659768256,,,,,,,,,,,False
MWG,2026-07-07,76.9,77.1,76.21,76.31,2154600,167384349601,,,,,,,,,,,False
MWG,2026-07-08,76.31,77.99,76.11,77.59,3145900,246641631630,,,,,,,,,,,False
MWG,2026-07-09,77.2,77.3,76.61,77.3,1582900,123712439718,,,,,,,,,,,False
MWG,2026-07-10,77.69,77.69,75.43,75.43,3169000,245358659734,,,,,,,,,,,False
MWG,2026-07-13,75.62,76.11,74.83,74.83,3721700,284536288057,,,,,,,,,,,False
MWG,2026-07-14,74.64,75.62,74.05,75.62,2788000,211678621027,,,,,,,,,,,False
MWG,2026-07-15,75.62,75.62,74.64,75.03,1802400,137315568158,,,,,,,,,,,False
MWG,2026-07-16,75.03,75.52,73.85,75.52,4353900,326382857000,,,,,,,,,,,False
MWG,2026-07-17,75.33,75.52,74.74,75.52,1827000,49479068593,,,,,,,,,,,False
MWG,2026-07-20,75.72,75.72,72.87,74.05,7676900,577861169533,,,,,,,,,,,False
MWG,2026-07-21,73.95,75.23,73.16,74.74,2872900,215900230599,,,,,,,,,,,False
MWG,2026-07-22,74.74,74.83,69.52,69.52,13474000,971794283315,,,,,,,,,,,False
